MEMs for Pattern 1
============================================

MEMs for Pattern 2
============================================

MEMs for Pattern 3
============================================
MEM (start=642, end=659, len=17)
MEM (start=685, end=696, len=11)
MEM (start=695, end=706, len=11)
MEM (start=698, end=708, len=10)
MEM (start=702, end=712, len=10)
MEM (start=707, end=717, len=10)
MEM (start=713, end=723, len=10)
MEM (start=727, end=740, len=13)
MEM (start=733, end=743, len=10)
MEM (start=741, end=751, len=10)
MEM (start=746, end=756, len=10)
MEM (start=751, end=767, len=16)
MEM (start=760, end=771, len=11)
MEM (start=774, end=789, len=15)
MEM (start=792, end=804, len=12)
MEM (start=799, end=809, len=10)
MEM (start=800, end=810, len=10)
MEM (start=804, end=815, len=11)
MEM (start=836, end=846, len=10)
MEM (start=839, end=854, len=15)
MEM (start=849, end=859, len=10)
MEM (start=865, end=876, len=11)
MEM (start=867, end=877, len=10)
MEM (start=868, end=878, len=10)
MEM (start=872, end=882, len=10)
MEM (start=875, end=885, len=10)
MEM (start=876, end=886, len=10)
MEM (start=877, end=889, len=12)
MEM (start=878, end=894, len=16)
MEM (start=891, end=908, len=17)
MEM (start=895, end=916, len=21)
MEM (start=909, end=919, len=10)
MEM (start=911, end=921, len=10)
MEM (start=917, end=928, len=11)
MEM (start=923, end=933, len=10)
MEM (start=925, end=935, len=10)
MEM (start=936, end=947, len=11)
MEM (start=939, end=949, len=10)
MEM (start=951, end=961, len=10)
MEM (start=954, end=964, len=10)
MEM (start=957, end=969, len=12)
MEM (start=963, end=973, len=10)
MEM (start=977, end=987, len=10)
MEM (start=982, end=1000, len=18)

MEMs for Pattern 12
============================================
MEM (start=1, end=12, len=11)
MEM (start=14, end=31, len=17)
MEM (start=26, end=36, len=10)
MEM (start=32, end=43, len=11)
MEM (start=45, end=71, len=26)
MEM (start=75, end=85, len=10)
MEM (start=79, end=89, len=10)
MEM (start=104, end=114, len=10)
MEM (start=128, end=138, len=10)
MEM (start=153, end=169, len=16)
MEM (start=180, end=191, len=11)
MEM (start=190, end=200, len=10)
MEM (start=193, end=203, len=10)
MEM (start=206, end=220, len=14)
MEM (start=223, end=234, len=11)
MEM (start=227, end=237, len=10)
MEM (start=263, end=276, len=13)
MEM (start=277, end=316, len=39)
MEM (start=333, end=343, len=10)
MEM (start=338, end=348, len=10)
MEM (start=340, end=350, len=10)
MEM (start=343, end=356, len=13)
MEM (start=355, end=368, len=13)
MEM (start=382, end=393, len=11)
MEM (start=397, end=408, len=11)
MEM (start=403, end=430, len=27)
MEM (start=431, end=448, len=17)
MEM (start=450, end=460, len=10)
MEM (start=454, end=464, len=10)
MEM (start=458, end=471, len=13)
MEM (start=470, end=480, len=10)
MEM (start=490, end=500, len=10)
MEM (start=497, end=507, len=10)
MEM (start=514, end=525, len=11)
MEM (start=518, end=528, len=10)
MEM (start=530, end=541, len=11)
MEM (start=567, end=578, len=11)
MEM (start=579, end=589, len=10)
